编码值,过滤顺序,过滤类型,dpsolver前or后,是否生效,备注
1,9,订单-跑男,dpsolver前,是,当前跑男不在订单的直线3公里范围内
3,10,订单-跑男,dpsolver前,是,直线距离不超过3公里，osrm导航距离超过了3公里
6,18,订单-跑男,dpsolver前,是,不满足运力值
9,20,订单-跑男,dpsolver前,是,"由于超时造成的< 跑男 - 订单> 对处于冻结状态,冻结时长为freeze_duration1"
12,32,订单-跑男,dpsolver后,是,求解成功
15,25,订单-跑男,dpsolver后,是,硬时间约束导致的无解
18,26,订单-跑男,dpsolver后,是,软时间约束部分订单超时导致的无解
21,28,订单-跑男,dpsolver后,是,订单体验指数高造成无解
23,1,订单,dpsolver前,是,不满足仅买送取，且排除就近买
25,15,订单-跑男,dpsolver前,是,不满足专送跑男只能接专送单，团送跑男同时可以接专送和团送
27,2,订单,dpsolver前,是,不满足预约取件时间前10分钟（暂定）派单
29,14,跑男,dpsolver前,是,身上有蛋糕订单的跑男不再强制指派订单
31,17,订单-跑男,dpsolver前,是,不满足接单权限，或者是不满足跑男自定义的最大派单数
33,3,订单,dpsolver前,是,用户绑定跑男的订单
35,4,订单,dpsolver前,是,一路多单不指派
37,11,跑男,dpsolver前,是,身上有就近买、帮帮、排队、家政、一路多单的跑男
39,12,跑男,dpsolver前,是,仅开启自动接单的跑男参与自动指派
41,5,订单,dpsolver前,是,订单超过20公里（可配置）
43,6,订单,dpsolver前,是,超出划定区域（可配置）的订单
45,24,订单-跑男,dpsolver前,是,通过接口进行业务逻辑预校验
47,13,跑男,dpsolver前,是,跑男1分钟（配置）内未活跃
49,,,dpsolver前,否,异常订单（未正常完成订单，如送货超5分钟订单）
51,16,订单-跑男,dpsolver前,是,订单要求跑男具备保温箱
53,,,dpsolver前,否,交通工具不匹配
55,,,dpsolver前,否,违禁词（如黄赌毒）、关键词（大力神等）不指派
57,,,dpsolver前,否,投保、贵重物品（手机数码珠宝）、蛋糕不派给新跑男（跑男技能需求）
59,,,dpsolver前,否,跑男被打上客诉标签，限制接单
61,,,dpsolver前,否,增加订单不派开关，跑男黑名单（即使跑男开启，但系统不派）
63,7,订单,dpsolver前,是,订单为客服指派类型不指派
65,8,订单,dpsolver前,是,喜盒订单不参与指派(AppId=2496)
67,21,订单-跑男,dpsolver前,是,"由于订单指派成功跑男、用户或后台取消订单，或者订单指派失败，造成的< 跑男 - 订单> 对处于冻结状态,冻结时长为freeze_duration2"
69,22,跑男,dpsolver前,是,生成跑男的原问题失败，跑男身上订单时间窗存在问题如没有送货超时时间
71,23,订单-跑男,dpsolver前,是,生成跑男的新问题失败，新订单时间窗存在问题
73,29,订单-跑男,dpsolver后,是,订单体验的绝对距离过大
75,30,订单-跑男,dpsolver后,是,新订单送货点与第一个节点和其他送货点与第一个节点矢量和角度过大，超过了设定的阈值
77,27,订单-跑男,dpsolver后,是,新订单的实际取货距离超过阈值，规划以后，再次对新订单的实际取货距离做校验
79,31,订单-跑男,dpsolver后,是,周围有没有订单的高U点跑男，没有接单优先权
81,19,订单-跑男,dpsolver前,是,不满足跑男自定义的最大接单距离
